Resultados RandomForestClassifier

--- Resultados con 1 hilos ---
{'params': {'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6774193548387096, 'recall': 0.44171779141104295, 'time': 0.8189482688903809}
{'params': {'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6774193548387096, 'recall': 0.4110429447852761, 'time': 0.8113811016082764}
{'params': {'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.6550868486352357, 'recall': 0.3987730061349693, 'time': 0.8130428791046143}
{'params': {'n_estimators': 200, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6923076923076923, 'recall': 0.4110429447852761, 'time': 0.8108251094818115}

--- Resultados con 2 hilos ---
{'params': {'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6898263027295285, 'recall': 0.3619631901840491, 'time': 0.173966646194458}
{'params': {'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6898263027295285, 'recall': 0.3558282208588957, 'time': 0.17042827606201172}
{'params': {'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.6327543424317618, 'recall': 0.2883435582822086, 'time': 0.17481589317321777}
{'params': {'n_estimators': 50, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6501240694789082, 'recall': 0.294478527607362, 'time': 0.17137885093688965}
{'params': {'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6799007444168734, 'recall': 0.4233128834355828, 'time': 0.21083402633666992}
{'params': {'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6947890818858561, 'recall': 0.4539877300613497, 'time': 0.23980355262756348}
{'params': {'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.6650124069478908, 'recall': 0.4171779141104294, 'time': 0.2163097858428955}
{'params': {'n_estimators': 50, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.7121588089330024, 'recall': 0.4539877300613497, 'time': 0.20415282249450684}
{'params': {'n_estimators': 50, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6823821339950372, 'recall': 0.3987730061349693, 'time': 0.219374418258667}
{'params': {'n_estimators': 50, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6476426799007444, 'recall': 0.37423312883435583, 'time': 0.20336580276489258}
{'params': {'n_estimators': 50, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.6923076923076923, 'recall': 0.4539877300613497, 'time': 0.22160696983337402}
{'params': {'n_estimators': 50, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6674937965260546, 'recall': 0.4110429447852761, 'time': 0.1983509063720703}
{'params': {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6898263027295285, 'recall': 0.3374233128834356, 'time': 0.34002041816711426}
{'params': {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6774193548387096, 'recall': 0.3496932515337423, 'time': 0.3375117778778076}
{'params': {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.6823821339950372, 'recall': 0.3128834355828221, 'time': 0.34650444984436035}
{'params': {'n_estimators': 100, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6823821339950372, 'recall': 0.3803680981595092, 'time': 0.3460407257080078}
{'params': {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6873449131513648, 'recall': 0.4294478527607362, 'time': 0.4241046905517578}
{'params': {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6873449131513648, 'recall': 0.4110429447852761, 'time': 0.4102158546447754}
{'params': {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.7096774193548387, 'recall': 0.4601226993865031, 'time': 0.4450957775115967}
{'params': {'n_estimators': 100, 'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6873449131513648, 'recall': 0.4233128834355828, 'time': 0.41132068634033203}
{'params': {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.6923076923076923, 'recall': 0.44785276073619634, 'time': 0.44104814529418945}
{'params': {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.7146401985111662, 'recall': 0.4662576687116564, 'time': 0.4273967742919922}
{'params': {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.6823821339950372, 'recall': 0.4233128834355828, 'time': 0.44837450981140137}
{'params': {'n_estimators': 100, 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6997518610421837, 'recall': 0.44785276073619634, 'time': 0.4189136028289795}
{'params': {'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1}, 'accuracy': 0.674937965260546, 'recall': 0.34355828220858897, 'time': 0.6938822269439697}
{'params': {'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 2}, 'accuracy': 0.6997518610421837, 'recall': 0.4049079754601227, 'time': 0.6866891384124756}
{'params': {'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1}, 'accuracy': 0.674937965260546, 'recall': 0.3496932515337423, 'time': 0.6731240749359131}
{'params': {'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2}, 'accuracy': 0.6625310173697271, 'recall': 0.31901840490797545, 'time': 0.6691677570343018}
